"neighborhood","virus","serotype","year","epiweek","total_female_aegypti","total_female_albopictus","total_traps","MFAI_aegypti","MFAI_albopictus"
"APARICIO BORGES","","",2018,3,10,0,25,0.4,0
"APARICIO BORGES","","",2018,4,9,1,25,0.36,0.04
"APARICIO BORGES","","",2018,5,13,1,27,0.481481481481481,0.037037037037037
"APARICIO BORGES","","",2018,6,14,4,29,0.482758620689655,0.137931034482759
"APARICIO BORGES","","",2018,7,11,1,25,0.44,0.04
"APARICIO BORGES","","",2018,8,11,0,24,0.458333333333333,0
"APARICIO BORGES","","",2018,9,10,0,27,0.37037037037037,0
"APARICIO BORGES","","",2018,10,15,0,27,0.555555555555556,0
"APARICIO BORGES","","",2018,11,12,0,27,0.444444444444444,0
"APARICIO BORGES","","",2018,12,5,0,29,0.172413793103448,0
"APARICIO BORGES","","",2018,13,8,1,27,0.296296296296296,0.037037037037037
"APARICIO BORGES","","",2018,14,6,0,27,0.222222222222222,0
"APARICIO BORGES","","",2018,15,6,0,29,0.206896551724138,0
"APARICIO BORGES","","",2018,16,15,1,29,0.517241379310345,0.0344827586206897
"APARICIO BORGES","","",2018,17,11,2,29,0.379310344827586,0.0689655172413793
"APARICIO BORGES","","",2018,18,7,1,29,0.241379310344828,0.0344827586206897
"APARICIO BORGES","","",2018,19,7,1,29,0.241379310344828,0.0344827586206897
"APARICIO BORGES","","",2018,20,8,0,29,0.275862068965517,0
"APARICIO BORGES","","",2018,21,9,0,29,0.310344827586207,0
"APARICIO BORGES","","",2018,22,4,0,28,0.142857142857143,0
"APARICIO BORGES","","",2018,23,3,0,29,0.103448275862069,0
"APARICIO BORGES","","",2018,24,5,0,28,0.178571428571429,0
"APARICIO BORGES","","",2018,25,1,0,29,0.0344827586206897,0
"APARICIO BORGES","","",2018,26,0,0,29,0,0
"APARICIO BORGES","","",2018,27,0,0,29,0,0
"APARICIO BORGES","","",2018,28,0,0,28,0,0
"APARICIO BORGES","","",2018,29,1,0,13,0.0769230769230769,0
"APARICIO BORGES","","",2018,30,0,0,29,0,0
"APARICIO BORGES","","",2018,31,0,0,28,0,0
"APARICIO BORGES","","",2018,32,1,0,29,0.0344827586206897,0
"APARICIO BORGES","","",2018,33,0,0,28,0,0
"APARICIO BORGES","","",2018,34,0,0,28,0,0
"APARICIO BORGES","","",2018,35,0,0,28,0,0
"APARICIO BORGES","","",2018,36,0,0,29,0,0
"APARICIO BORGES","","",2018,37,1,0,29,0.0344827586206897,0
"APARICIO BORGES","","",2018,38,1,0,28,0.0357142857142857,0
"APARICIO BORGES","","",2018,39,0,0,29,0,0
"APARICIO BORGES","","",2018,40,0,0,28,0,0
"APARICIO BORGES","","",2018,41,0,0,28,0,0
"APARICIO BORGES","","",2018,42,3,0,28,0.107142857142857,0
"APARICIO BORGES","","",2018,43,4,0,29,0.137931034482759,0
"APARICIO BORGES","","",2018,44,2,0,28,0.0714285714285714,0
"APARICIO BORGES","","",2018,45,2,0,29,0.0689655172413793,0
"APARICIO BORGES","","",2018,46,6,0,28,0.214285714285714,0
"APARICIO BORGES","","",2018,47,2,0,28,0.0714285714285714,0
"APARICIO BORGES","","",2018,48,2,1,27,0.0740740740740741,0.037037037037037
"APARICIO BORGES","","",2018,49,3,1,29,0.103448275862069,0.0344827586206897
"APARICIO BORGES","","",2018,50,5,0,28,0.178571428571429,0
"APARICIO BORGES","","",2018,51,6,0,29,0.206896551724138,0
"APARICIO BORGES","","",2018,52,1,0,2,0.5,0
"APARICIO BORGES","","",2019,1,2,0,21,0.0952380952380952,0
"APARICIO BORGES","","",2019,2,0,0,2,0,0
"APARICIO BORGES","","",2019,3,8,0,29,0.275862068965517,0
"APARICIO BORGES","","",2019,4,4,1,28,0.142857142857143,0.0357142857142857
"APARICIO BORGES","","",2019,5,3,0,21,0.142857142857143,0
"APARICIO BORGES","","",2019,6,4,0,21,0.19047619047619,0
"APARICIO BORGES","","",2019,7,7,0,21,0.333333333333333,0
"APARICIO BORGES","","",2019,8,5,0,21,0.238095238095238,0
"APARICIO BORGES","","",2019,9,6,0,21,0.285714285714286,0
"APARICIO BORGES","","",2019,10,7,1,18,0.388888888888889,0.0555555555555556
"APARICIO BORGES","","",2019,11,3,0,20,0.15,0
"APARICIO BORGES","","",2019,12,18,2,21,0.857142857142857,0.0952380952380952
"APARICIO BORGES","","",2019,13,4,0,19,0.210526315789474,0
"APARICIO BORGES","","",2019,14,8,0,21,0.380952380952381,0
"APARICIO BORGES","","",2019,15,10,0,21,0.476190476190476,0
"APARICIO BORGES","","",2019,16,6,0,19,0.315789473684211,0
"APARICIO BORGES","","",2019,17,1,0,20,0.05,0
"APARICIO BORGES","","",2019,18,9,0,20,0.45,0
"APARICIO BORGES","","",2019,19,6,1,21,0.285714285714286,0.0476190476190476
"APARICIO BORGES","","",2019,20,3,0,21,0.142857142857143,0
