"year","epiweek","mean_temperature","relative_humidity","precipitation","rainy_days_5","rainy_days_10","rainy_days_30","indexP"
2018,3,23.3498862856911,74.5506774275811,4.57737771247461,5,10,NA,3.71959184454506
2018,4,25.3186620803107,69.7224407524085,1.85303075031603,5,10,NA,6.96115888328875
2018,5,22.3895202636719,66.8071358891175,3.09308819814191,5,10,NA,1.63770211329427
2018,6,23.417742120652,76.8783784495848,24.5179769210549,5,10,30,4.30148174474768
2018,7,24.3094054449172,81.7464324526996,5.19666092592767,5,10,30,8.15147487186595
2018,8,23.2623684111096,74.137877773561,2.51558494849805,5,10,30,3.50205154212991
2018,9,22.7797641572498,69.6075708555151,28.0127049950707,2,5,25,2.24466503502118
2018,10,22.1151032947359,78.1914167189827,13.331660308116,4,8,24,2.50962123798254
2018,11,22.1146081107004,86.1877228363801,15.0224306210779,5,10,24,3.61911109289165
2018,12,21.4501699538458,87.0852360503696,14.8961843694456,5,10,24,2.73874218471951
2018,13,23.0761032831101,75.2610879645141,3.67934690012225,5,10,29,3.39983941767315
2018,14,21.8469685872396,75.3226525292374,0.942197273814838,5,10,30,1.93425262460633
2018,15,23.9920084635417,81.1157646797233,0.669991469645008,5,10,30,6.85310541064653
2018,16,22.5116897583008,79.9591017037315,4.71526794511116,5,10,30,3.28147798692958
2018,17,20.6699800763812,77.2764157251098,3.64714627981696,5,10,30,1.21316503895976
2018,18,16.7360153924851,77.6782216793963,22.8032284252248,5,10,30,0.136681351054707
2018,19,12.9544227963402,78.2936670264361,0.695717732321318,5,10,30,0.000678135944756756
2018,20,17.8934944516137,77.9331974679518,7.44450177253479,5,10,30,0.291518592751671
2018,21,12.4847885131836,77.3563644977634,3.13809449877548,5,10,30,2.4401654238546e-05
2018,22,13.0267349243164,77.3004631655663,31.19249369934,5,10,30,0.000857214718076703
2018,23,13.0201823643276,84.0839319720169,3.79190128820491,5,10,30,0.00100676906259008
2018,24,13.7769514537993,90.2705646880757,30.9253437173235,5,10,30,0.0078304811971446
2018,25,14.7031635829381,83.2187365188426,13.2681898092718,5,10,30,0.0252660150824672
2018,26,12.427384585426,85.8543559757818,9.43279301696502,5,10,30,7.33598869717081e-06
2018,27,17.2763076782227,80.7062459666903,37.8878408749443,5,10,30,0.220749659273384
2018,28,14.1767164684478,87.0172354985067,35.5446094081344,5,10,30,0.0138766693014032
2018,29,13.2949677240281,78.57758060933,4.61366377494462,5,10,30,0.00196321640989816
2018,30,12.5616601126535,80.9515124097472,6.57024727975871,5,10,30,7.23277875823468e-05
2018,31,14.8566292172387,81.6446454160773,0.193611587735158,5,10,30,0.0288717682505178
2018,32,12.9211985996792,79.1972716868489,26.1860768614248,5,10,30,0.00061043248624991
2018,33,15.7188085646857,80.4943492450548,39.8648182984379,5,10,30,0.0669422096160131
